insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (1, 'bulbasaur', 'grass', 'poison', 87.5, 10, null, null, 45, 49, 49, 65, 65, 45);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (2, 'ivysaur', 'grass', 'poison', 87.5, 10, null, null, 60, 62, 63, 80, 80, 60);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (3, 'venusaur', 'grass', 'poison', 87.5, 10, null, null, 80, 82, 83, 100, 100, 80);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (4, 'charmander', 'fire', null, 87.5, 10, null, null, 39, 52, 43, 60, 50, 65);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (5, 'charmeleon', 'fire', null, 87.5, 10, null, null, 58, 64, 58, 80, 65, 80);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (6, 'charizard', 'fire', 'flying', 87.5, 10, null, null, 78, 84, 78, 109, 85, 100);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (7, 'squirtle', 'water', null, 87.5, 10, null, null, 44, 48, 65, 50, 64, 43);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (8, 'wartortle', 'water', null, 87.5, 10, null, null, 59, 63, 80, 65, 80, 58);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (9, 'blastoise', 'water', null, 87.5, 10, null, null, 79, 83, 100, 85, 105, 78);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (10, 'caterpie', 'bug', null, '50', 20, null, null, 45, 30, 35, 20, 20, 45);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (11, 'metapod', 'bug', null, '50', 20, null, null, 50, 20, 55, 25, 25, 30);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (12, 'butterfree', 'bug', 'flying', '50', 20, null, null, 60, 45, 50, 90, 80, 70);
insert into PokemonBase (national_number, name, primary_type, secondary_type, percent_male, growth_rate, evolves_at, evolves_into, hp_base, attack_base, defense_base, spatt_base, spdef_base, speed_base) values (13, 'weedle', 'bug', 'poison', '50', 20, null, null, 40, 35, 30, 20, 20, 50);
